Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1,Jan,0,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,44,Car
1,Jan,23,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Female,23,Car
1,Jan,16,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,12,Car
1,Jan,17,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,15,Car
2,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car
2,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car
2,Jan,23,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,57,Car
1,Jan,2,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,17,Car
2,Jan,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,23,Car
1,Jan,16,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,20,Car
1,Jan,16,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,23,Car
2,Jan,17,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,18,Car
2,Jan,17,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,47,Car
2,Jan,17,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,11,Car
2,Jan,17,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,15,Car
2,Jan,17,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,42,Car
2,Jan,16,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,83,Car
2,Jan,16,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,65,Car
1,Jan,0,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,24,Car
2,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,28,Car
2,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,29,Car
2,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,26,Car
1,Jan,7,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,42,Car
1,Jan,7,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Fatal,Male,18,Car
3,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,34,Car
3,Jan,14,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,38,Car
1,Jan,12,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,40,Bus or coach (17 or more passenger seats)
1,Jan,23,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,Car
1,Jan,18,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,4,Car
2,Jan,18,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,78,Car
2,Jan,18,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,51,Car
1,Jan,17,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,52,Car
1,Jan,13,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,66,Bus or coach (17 or more passenger seats)
2,Jan,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Taxi/Private hire car
2,Jan,10,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,66,Car
1,Jan,11,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,88,Car
3,Jan,20,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,40,Car
3,Jan,11,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,M/cycle 50cc and under
1,Jan,15,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
1,Jan,20,Dry,Darkness: no street lighting,Fine without high winds,Driver,Serious,Male,22,Car
2,Jan,12,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,17,Pedal cycle
2,Jan,17,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,40,Car
2,Jan,18,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,24,Car
2,Jan,18,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,27,Other Vehicle 
2,Jan,7,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,41,Pedal cycle
2,Jan,8,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Serious,Male,23,Car
2,Jan,8,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,54,Car
1,Jan,11,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,71,Bus or coach (17 or more passenger seats)
2,Jan,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47,Car
2,Jan,8,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,22,Car
2,Jan,8,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,11,Car
2,Jan,16,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,20,Motorcycle over 125cc and up to 500cc
1,Jan,17,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,7,Car
2,Jan,8,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,31,Pedal cycle
2,Jan,21,Frost / Ice,Darkness: street lights present and lit,Other,Driver,Slight,Male,21,Car
2,Jan,15,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,21,Motorcycle over 50cc and up to 125cc
